datetime,ID,Tmp1,Tmp2,Cnt
2022-10-04 20:07:57,2,20.06,21.06,"0
"
2022-10-04 20:09:59,2,20.06,21.06,"0
"
2022-10-04 20:28:17,2,20.12,21.12,"0
"
2022-10-04 20:44:53,2,20.12,21.12,"0
"
2022-10-04 22:01:40,2,19.94,20.81,"0
"
2022-10-04 22:13:55,2,19.94,20.87,"0
"
2022-10-04 23:09:12,2,20.00,20.87,"0
"
2022-10-04 23:29:01,2,20.00,21.00,"0
"
2022-10-04 20:08:56,1,21.25,21.56,"0
"
2022-10-04 20:21:39,1,21.37,21.81,"0
"
2022-10-04 20:40:02,1,21.25,21.62,"0
"
2022-10-04 20:49:55,1,21.25,21.69,"0
"
2022-10-04 22:07:18,1,21.06,21.31,"0
"
2022-10-04 22:39:19,1,21.06,21.44,"0
"
2022-10-04 23:22:55,1,21.12,21.37,"0
"
